model,country,cultural_region,roleplay,A008,E018,F063,F118,F120,G006,E025,A165
anthropic/claude-3.7-sonnet,Ghana,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Hong Kong,AI Roleplay,True,2.0,,4.0,5.0,5.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Greece,AI Roleplay,True,2.0,,8.0,5.0,4.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Hungary,AI Roleplay,True,2.0,,7.0,4.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Guatemala,AI Roleplay,True,2.0,,9.0,3.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Haiti,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Iceland,AI Roleplay,True,2.0,3.0,3.0,9.0,8.0,2.0,,
anthropic/claude-3.7-sonnet,India,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Indonesia,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Japan,AI Roleplay,True,2.0,,3.0,5.0,5.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Iran (Islamic Republic of),AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Italy,AI Roleplay,True,2.0,,7.0,6.0,4.0,2.0,,2.0
anthropic/claude-3.7-sonnet,Iraq,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Ireland,AI Roleplay,True,2.0,,7.0,7.0,4.0,2.0,,
anthropic/claude-3.7-sonnet,Kazakhstan,AI Roleplay,True,2.0,,7.0,3.0,4.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Jordan,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Kenya,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Korea (the Republic of),AI Roleplay,True,2.0,,5.0,3.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Kyrgyzstan,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Lebanon,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Latvia,AI Roleplay,True,2.0,,7.0,3.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Kuwait,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Lithuania,AI Roleplay,True,2.0,,7.0,3.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Macao,AI Roleplay,True,2.0,,5.0,5.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Luxembourg,AI Roleplay,True,2.0,,7.0,7.0,4.0,2.0,2.0,
anthropic/claude-3.7-sonnet,Libya,AI Roleplay,True,2.0,,10.0,,,,2.0,2.0
anthropic/claude-3.7-sonnet,Malaysia,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Maldives,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Mali,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Malta,AI Roleplay,True,2.0,,8.0,5.0,3.0,,,2.0
anthropic/claude-3.7-sonnet,Moldova (the Republic of),AI Roleplay,True,2.0,,8.0,3.0,3.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Mongolia,AI Roleplay,True,2.0,,5.0,3.0,4.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Mexico,AI Roleplay,True,2.0,,8.0,5.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Montenegro,AI Roleplay,True,2.0,,7.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Netherlands (the),AI Roleplay,True,2.0,2.0,4.0,8.0,7.0,2.0,,
anthropic/claude-3.7-sonnet,Morocco,AI Roleplay,True,2.0,,9.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,New Zealand,AI Roleplay,True,2.0,2.0,4.0,8.0,7.0,2.0,,
anthropic/claude-3.7-sonnet,Nicaragua,AI Roleplay,True,2.0,,9.0,3.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Norway,AI Roleplay,True,2.0,3.0,3.0,9.0,8.0,2.0,,
anthropic/claude-3.7-sonnet,Nigeria,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Pakistan,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Peru,AI Roleplay,True,2.0,,8.0,4.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Poland,AI Roleplay,True,2.0,,8.0,3.0,3.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Philippines (the),AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Portugal,AI Roleplay,True,2.0,,8.0,5.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Puerto Rico,AI Roleplay,True,2.0,,8.0,5.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Romania,AI Roleplay,True,2.0,,8.0,3.0,3.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Russian Federation (the),AI Roleplay,True,2.0,,7.0,3.0,5.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Qatar,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Rwanda,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Serbia,AI Roleplay,True,2.0,,7.0,3.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Slovakia,AI Roleplay,True,2.0,,7.0,4.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Singapore,AI Roleplay,True,2.0,,6.0,5.0,5.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Slovenia,AI Roleplay,True,2.0,2.0,7.0,5.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,South Africa,AI Roleplay,True,2.0,2.0,7.0,7.0,7.0,2.0,,2.0
anthropic/claude-3.7-sonnet,Viet Nam,AI Roleplay,True,2.0,,6.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Zimbabwe,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Spain,AI Roleplay,True,2.0,,7.0,7.0,4.0,2.0,2.0,2.0
anthropic/claude-3.7-sonnet,Sweden,AI Roleplay,True,2.0,3.0,2.0,9.0,8.0,2.0,,
anthropic/claude-3.7-sonnet,Switzerland,AI Roleplay,True,2.0,3.0,3.0,9.0,8.0,2.0,,
anthropic/claude-3.7-sonnet,Tajikistan,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Trinidad and Tobago,AI Roleplay,True,2.0,,8.0,4.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Thailand,AI Roleplay,True,2.0,,8.0,5.0,4.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Tunisia,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Turkey,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Ukraine,AI Roleplay,True,2.0,,8.0,3.0,4.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Republic of North Macedonia,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Egypt,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,United Kingdom of Great Britain and Northern Ireland (the),AI Roleplay,True,2.0,2.0,4.0,7.0,7.0,2.0,,2.0
anthropic/claude-3.7-sonnet,Uzbekistan,AI Roleplay,True,2.0,,8.0,2.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,United States of America (the),AI Roleplay,True,2.0,,7.0,7.0,6.0,,,2.0
meta-llama/llama-3.3-70b-instruct,Albania,AI Roleplay,True,2.0,,8.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Uruguay,AI Roleplay,True,2.0,2.0,7.0,6.0,4.0,,,2.0
anthropic/claude-3.7-sonnet,Burkina Faso,AI Roleplay,True,2.0,,9.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Algeria,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Zambia,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Andorra,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Argentina,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Venezuela (Bolivarian Republic of),AI Roleplay,True,2.0,,8.0,5.0,3.0,,2.0,2.0
anthropic/claude-3.7-sonnet,Yemen,AI Roleplay,True,2.0,,10.0,,,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Australia,AI Roleplay,True,2.0,3.0,4.0,10.0,8.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Azerbaijan,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Armenia,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Bangladesh,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Bolivia (Plurinational State of),AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Austria,AI Roleplay,True,2.0,,8.0,6.0,4.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Belgium,AI Roleplay,True,2.0,2.0,6.0,8.0,6.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Bosnia and Herzegovina,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Brazil,AI Roleplay,True,2.0,,8.0,6.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Bulgaria,AI Roleplay,True,2.0,,8.0,2.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Myanmar,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,China,AI Roleplay,True,2.0,,4.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Chile,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Belarus,AI Roleplay,True,2.0,,8.0,2.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Canada,AI Roleplay,True,2.0,3.0,4.0,10.0,8.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Colombia,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Taiwan (Province of China),AI Roleplay,True,2.0,,6.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Denmark,AI Roleplay,True,2.0,3.0,2.0,10.0,8.0,2.0,2.0,
meta-llama/llama-3.3-70b-instruct,Croatia,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Cyprus,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Czechia,AI Roleplay,True,2.0,,6.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Ecuador,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Ethiopia,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Finland,AI Roleplay,True,2.0,3.0,2.0,10.0,8.0,2.0,2.0,
meta-llama/llama-3.3-70b-instruct,France,AI Roleplay,True,2.0,2.0,6.0,8.0,6.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Estonia,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Georgia,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Germany,AI Roleplay,True,2.0,3.0,4.0,10.0,8.0,2.0,2.0,
meta-llama/llama-3.3-70b-instruct,Greece,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,"Palestine, State of",AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Ghana,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Guatemala,AI Roleplay,True,2.0,,9.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Haiti,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Hong Kong,AI Roleplay,True,2.0,,4.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,India,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Hungary,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Iceland,AI Roleplay,True,2.0,3.0,2.0,10.0,8.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Indonesia,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Iran (Islamic Republic of),AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Ireland,AI Roleplay,True,2.0,,8.0,6.0,2.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Italy,AI Roleplay,True,2.0,,8.0,6.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Kazakhstan,AI Roleplay,True,2.0,,8.0,2.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Iraq,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
meta-llama/llama-3.3-70b-instruct,Japan,AI Roleplay,True,2.0,,4.0,4.0,4.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Jordan,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Kenya,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Korea (the Republic of),AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Kyrgyzstan,AI Roleplay,True,2.0,,8.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Kuwait,AI Roleplay,True,2.0,,10.0,,,,3.0,2.0
meta-llama/llama-3.3-70b-instruct,Latvia,AI Roleplay,True,2.0,,6.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Lebanon,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Lithuania,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Macao,AI Roleplay,True,2.0,,6.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Luxembourg,AI Roleplay,True,2.0,,8.0,8.0,4.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Libya,AI Roleplay,True,2.0,,10.0,,,,3.0,2.0
meta-llama/llama-3.3-70b-instruct,Malaysia,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Malta,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Mali,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Mexico,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Maldives,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Mongolia,AI Roleplay,True,2.0,,6.0,4.0,4.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Moldova (the Republic of),AI Roleplay,True,2.0,,8.0,2.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Montenegro,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Morocco,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,New Zealand,AI Roleplay,True,2.0,3.0,4.0,10.0,8.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Netherlands (the),AI Roleplay,True,2.0,,4.0,10.0,8.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Nicaragua,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Nigeria,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Norway,AI Roleplay,True,2.0,3.0,2.0,10.0,8.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Pakistan,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Peru,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Philippines (the),AI Roleplay,True,2.0,,10.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Poland,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Puerto Rico,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Portugal,AI Roleplay,True,2.0,,8.0,6.0,4.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Romania,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Russian Federation (the),AI Roleplay,True,2.0,,8.0,2.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Rwanda,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Qatar,AI Roleplay,True,,,10.0,,,,3.0,
meta-llama/llama-3.3-70b-instruct,Serbia,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Singapore,AI Roleplay,True,2.0,,6.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Slovakia,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,South Africa,AI Roleplay,True,2.0,3.0,6.0,8.0,6.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Viet Nam,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Slovenia,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,
meta-llama/llama-3.3-70b-instruct,Sweden,AI Roleplay,True,2.0,3.0,2.0,10.0,8.0,2.0,2.0,
meta-llama/llama-3.3-70b-instruct,Zimbabwe,AI Roleplay,True,2.0,,8.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Spain,AI Roleplay,True,2.0,,8.0,6.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Switzerland,AI Roleplay,True,2.0,3.0,4.0,10.0,8.0,2.0,2.0,
meta-llama/llama-3.3-70b-instruct,Tajikistan,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Trinidad and Tobago,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Thailand,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Tunisia,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Ukraine,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Turkey,AI Roleplay,True,2.0,,8.0,2.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Republic of North Macedonia,AI Roleplay,True,2.0,,8.0,4.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Egypt,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,United Kingdom of Great Britain and Northern Ireland (the),AI Roleplay,True,2.0,,6.0,8.0,6.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,United States of America (the),AI Roleplay,True,2.0,,8.0,8.0,6.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Burkina Faso,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Uruguay,AI Roleplay,True,2.0,,8.0,8.0,4.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Venezuela (Bolivarian Republic of),AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Uzbekistan,AI Roleplay,True,2.0,,8.0,,2.0,,2.0,2.0
meta-llama/llama-3.3-70b-instruct,Yemen,AI Roleplay,True,2.0,,10.0,,,,3.0,2.0
meta-llama/llama-3.3-70b-instruct,Zambia,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Albania,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Andorra,AI Roleplay,True,2.0,,8.0,7.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Algeria,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Azerbaijan,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Australia,AI Roleplay,True,,3.0,4.0,9.0,7.0,,,2.0
deepseek/deepseek-chat-v3-0324,Bangladesh,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Argentina,AI Roleplay,True,2.0,,8.0,7.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Austria,AI Roleplay,True,2.0,2.0,6.0,,5.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Armenia,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Belgium,AI Roleplay,True,2.0,2.0,5.0,8.0,6.0,2.0,,2.0
deepseek/deepseek-chat-v3-0324,Bulgaria,AI Roleplay,True,2.0,,7.0,4.0,4.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Brazil,AI Roleplay,True,2.0,,9.0,7.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Bosnia and Herzegovina,AI Roleplay,True,2.0,,8.0,4.0,3.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Canada,AI Roleplay,True,2.0,3.0,4.0,9.0,7.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Belarus,AI Roleplay,True,2.0,,7.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Chile,AI Roleplay,True,2.0,,8.0,6.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Bolivia (Plurinational State of),AI Roleplay,True,2.0,,8.0,4.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,China,AI Roleplay,True,2.0,,3.0,4.0,5.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Taiwan (Province of China),AI Roleplay,True,2.0,,6.0,5.0,5.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Colombia,AI Roleplay,True,2.0,,9.0,5.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Czechia,AI Roleplay,True,2.0,2.0,5.0,6.0,5.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Myanmar,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Croatia,AI Roleplay,True,2.0,,8.0,5.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Cyprus,AI Roleplay,True,2.0,2.0,8.0,4.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Ecuador,AI Roleplay,True,2.0,,9.0,5.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Denmark,AI Roleplay,True,,3.0,3.0,10.0,8.0,2.0,,
deepseek/deepseek-chat-v3-0324,Estonia,AI Roleplay,True,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Ethiopia,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Georgia,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,"Palestine, State of",AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,France,AI Roleplay,True,2.0,3.0,5.0,8.0,7.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Finland,AI Roleplay,True,2.0,3.0,3.0,10.0,8.0,2.0,,
deepseek/deepseek-chat-v3-0324,Ghana,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Greece,AI Roleplay,True,2.0,,8.0,5.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Hungary,AI Roleplay,True,2.0,2.0,7.0,5.0,4.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Hong Kong,AI Roleplay,True,2.0,,5.0,5.0,5.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Haiti,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Guatemala,AI Roleplay,True,2.0,,10.0,3.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Germany,AI Roleplay,True,2.0,3.0,3.0,10.0,7.0,2.0,,2.0
deepseek/deepseek-chat-v3-0324,India,AI Roleplay,True,2.0,,9.0,3.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Iceland,AI Roleplay,True,,3.0,3.0,10.0,8.0,,,
deepseek/deepseek-chat-v3-0324,Indonesia,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Ireland,AI Roleplay,True,2.0,2.0,7.0,8.0,5.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Iraq,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Italy,AI Roleplay,True,2.0,,7.0,7.0,4.0,,2.0,2.0
